"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"02/03/2025","BLDNCC-2025-01694","New Commercial Construction Permit","4718 Helgesen DR, Madison WI 53718 United States","Closed","Amazon- interior alteration to create prayer rooms",,"Amazon- interior alteration to create prayer rooms",
"02/03/2025","BLDNCC-2025-01693","New Commercial Construction Permit","4718 Helgesen DR, Madison WI 53718 United States","Closed","Amazon- tenant alterations to add mothers nursing room",,"Amazon- tenant alterations to add mothers nursing room",
"02/03/2025","BLDNCC-2025-01686","New Commercial Construction Permit","8216 Watts RD, Madison WI 53719 United States","Closed","Skip's at Brennan's - new tenant alteration includes outdoor seating",,"Skip's at Brennan's - new tenant alteration",
"01/30/2025","BLDNCC-2025-01564","New Commercial Construction Permit","115 S Second ST, Madison WI 53704 United States","Closed","B.I.G. Fades Barbershop - shell build out",,"B.I.G. Fades Barbershop - shell build out",
"01/30/2025","BLDNCC-2025-01559","New Commercial Construction Permit","202 N First ST, Madison WI 53704 United States","Closed","Madison Public Market - 367 panel 200.015 kW dc rooftop solar PV system",,"Madison Public Market - 367 panel 200.015 kW dc rooftop solar PV system",
"01/30/2025","BLDNCC-2025-01536","New Commercial Construction Permit","4502 Regent ST, Madison WI 53705 United States","Issued","The Chesapeake - new 5 story 44 unit apartment with 2 levels of parking",,"The Chesapeake - new 5 story 44 unit apartment with 2 levels of parking",
"01/30/2025","BLDNCC-2025-01533","New Commercial Construction Permit","501 E Badger RD, Madison WI 53713 United States","Closed","Rooftop solar PV 34kW DC with 64 panels",,"Rooftop solar PV 34kW DC with 64 panels",
"01/30/2025","BLDNCC-2025-01518","New Commercial Construction Permit","5033 Old Middleton RD, Madison WI 53705 United States","Issued","The Maxwell - new 5 story 40 unit apartment with 2 levels of interior parking",,"The Maxwell - new 5 story 40 unit apartment with 2 levels of interior parking",
"01/29/2025","BLDNCC-2025-01453","New Commercial Construction Permit","802 E Gorham ST, Madison WI 53703 United States","Closed","Yahara House - first floor reception alteration, second floor bathroom alteration. No exterior work.",,"Yahara House - first floor reception alteration, second floor bathroom alteration",
"01/28/2025","BLDNCC-2025-01414","New Commercial Construction Permit","3204 Ohmeda DR, Madison WI 53718 United States","Closed","Crown Equipment - shell build out for new tenant",,"Crown Equipment - shell build out for new tenant",
"01/27/2025","BLDNCC-2025-01336","New Commercial Construction Permit","970 N Gammon RD, Madison WI 53717 United States","Closed","36 panel Roof mounted solar PV system",,"36 panel Roof mounted solar PV system",
"01/27/2025","BLDNCC-2025-01282","New Commercial Construction Permit","4101 Lien RD, Madison WI 53704 United States","Closed","Tekniplex - remove wall, add overhead door and trench drain",,"Tekniplex - remove wall, add overhead door and trench drain",
"01/27/2025","BLDNCC-2025-01279","New Commercial Construction Permit","602 Everglade DR, Madison WI 53717 United States","Issued","US Cellular - replace antennas and other equipment",,"US Cellular - replace antennas and other equipment",
"01/24/2025","BLDNCC-2025-01194","New Commercial Construction Permit","3035 S Stoughton RD, Madison WI 53716 United States","Closed","Pedro's - new tenant alteration",,"Pedro's - new tenant alteration",
"01/24/2025","BLDNCC-2025-01160","New Commercial Construction Permit","428 W Johnson ST, Madison WI 53703 United States","Issued","Madison WI Properties KP7 - new 14 story 474-unit apartment student housing",,"Madison WI Properties KP7 - new 14 story 474-unit apartment student housing",
"01/23/2025","BLDNCC-2025-01114","New Commercial Construction Permit","4 Sherman TER, 3, Madison WI 53704 United States","Closed","kitchen alteration - remove wing wall in kitchen, add appliances",,"kitchen alteration - remove wing wall in kitchen, add appliances",
"01/22/2025","BLDNCC-2025-01014","New Commercial Construction Permit","5117 West Terrace DR, 400, Madison WI 53718 United States","Issued","FDIC new tenant alterations",,"FDIC new tenant alterations",
